"ab1f647c-a1e8-4574-86c7-b3172e7cb9fc","Factories license","LABOUR DEPARTMENT - FACTORY WING"
"9e092298-0b46-46e8-96d5-ec97f2fd3822","Registration under Shops and Establishments Act","LABOUR DEPARTMENT - LABOUR WING"
"ac3e450b-82a1-4b7f-b617-49846d80dcce","Renewal under Factories license","LABOUR DEPARTMENT - FACTORY WING"
"32503707-5111-4ea9-b2a6-0086ab375072","Renewal under Shops and Establishments Act","LABOUR DEPARTMENT - LABOUR WING"
"34ce50b9-11dd-4e75-a861-97f37fd13fdc","Application for Business License U/S 330","URBAN LOCAL BODIES"
"602e6b31-acd0-48aa-a874-a99f3cd657ce","Application for Business License U/S 331","URBAN LOCAL BODIES"
"a14fd77c-1b59-4ebb-a5fc-9650e7e8b844","Application for Business License U/S 335","URBAN LOCAL BODIES"
"79885a37-4ae4-4380-8935-e18045a63e75","Application for Business License U/S 336","URBAN LOCAL BODIES"
"4cfd884f-c961-4b79-83b9-819236acfd00","Approval of Fire Fighting Scheme","URBAN LOCAL BODIES"
"d61d8822-e030-4fc4-a5be-e897ad0e52fb","Approval of Fire NOC","URBAN LOCAL BODIES"
"13982300-ce17-4820-ba62-4ce3e6cc4a3c","Building Plan Approval","URBAN LOCAL BODIES"
"518e93a0-7540-4574-978a-27a957c4d0b3","Issuance of Occupation Certificate","URBAN LOCAL BODIES"
"bc31929a-ed0b-4dc1-a5ba-a435f87226ca","Allotment of Plots","HARYANA STATE INDUSTRIAL & INFRASTRUCTURE DEVELOPMENT CORPORATION LTD"
"55d4cae8-54d8-444a-8269-5fd306a120c0","Registration under Boiler Act","DEPARTMENT OF INDUSTRIES & COMMERCE"
"6a373432-0ee2-4440-abce-0caf6280b240","Make Payment for Scrutiny Fee for CLU","TOWN & COUNTRY PLANNING"
"1d80f8ec-5b06-46d1-8135-72f8a41d9da1","Environment Clearance Plan from Central Environment Authority- Registration","ENVIRONMENT"
"46b07083-17f7-4ba2-9bd4-f88f5fd330df","Apply Environment clearance plan from State (Haryana)","ENVIRONMENT"
"8eb17ffc-4b5d-40d9-b3e4-fe8b8a59dce3","Stamp Paper Payment","DEPARTMENT OF REVENUE"
"23b90aaa-77fb-4c82-9f2c-e814d89214b8","Stamp Paper Generation","DEPARTMENT OF REVENUE"
"53bc0291-a4f0-4722-aa95-851938af9c6d","VAT Registration.","EXCISE & TAXATION - SALES TAX"
"8066dcf6-6922-45dc-bbda-a48a2814aeb4","CST Registration.","EXCISE & TAXATION - SALES TAX"
"7d35a0dd-5f56-40d3-aa33-fe0e086012d5","Issuance of Permanent Water Connection","PUBLIC HEALTH ENGINEERING DEPARTMENT"
"af7bb41d-f4a8-4870-86e3-09efec996ad4","Issuance of Sewerage Connection","PUBLIC HEALTH ENGINEERING DEPARTMENT"
"77a364a4-21e6-46d9-8e38-8fe31a53f69a","Renewal of Boilers - Industries","DEPARTMENT OF INDUSTRIES & COMMERCE"
"2ca2f6e0-3682-4e96-a698-c9790096d768","Application Form for Registration of Establishment under Contract Labour Act R and A Act 1970","LABOUR DEPARTMENT - FACTORY WING"
"68798fd9-fa22-48a5-a30b-5351d1e1ee08","Application for registration of establishment employing building workers","LABOUR DEPARTMENT - FACTORY WING"
"1ddec0e0-564d-4564-8671-b2007b8f8bd4","Application for license under contract labour","LABOUR DEPARTMENT - LABOUR WING"
"b0e097fb-6798-45ab-a878-589d08703960","Application for permission to construct, extend, or take into use any building as a factory","LABOUR DEPARTMENT - FACTORY WING"
"e8a080fa-b283-4057-9787-ec86a5d64ffa","Registration at GOI Forests Clearances Portal","DEPARTMENT OF FORESTS & WILDLIFE"
"cef626dc-3021-4f7e-b02e-11fb5b1257d0","Forest Clearances - Login.","DEPARTMENT OF FORESTS & WILDLIFE"
"99c0a47a-417e-4cf2-9dd3-4cacc61ab3fa","View Bill Onilne","PUBLIC HEALTH ENGINEERING DEPARTMENT"
"ddf91b7b-7160-4b6c-a5e6-92e7a5060beb","Online BILL PAYMENT","PUBLIC HEALTH ENGINEERING DEPARTMENT"
"8dbc71f0-c879-484e-92fb-64afba7a28eb","Online COMPLAINT of Water Services","PUBLIC HEALTH ENGINEERING DEPARTMENT"
"6af9231a-0033-4698-bb93-5cb76d930444","Incentive Scheme","DEPARTMENT OF INDUSTRIES & COMMERCE"
"92876b23-0944-40c0-9def-efd28d09eae5","Water and Sewer Connection Services in MC Gurgaon and Faridabad","URBAN LOCAL BODIES"
"e7abddab-00b1-452a-9f2c-878e71c83d27","Check Water Bill Detail - HUDA Allotee Account Users","HARYANA URBAN DEVELOPMENT AUTHORITY"
"717059b0-9b43-4364-92cb-9de72e316328","Water Connection - HSIIDC","HARYANA STATE INDUSTRIAL & INFRASTRUCTURE DEVELOPMENT CORPORATION LTD"
"7a763f05-b4e5-4b27-8639-867ca43b534e","Building Plan Approval - HSIIDC","HARYANA STATE INDUSTRIAL & INFRASTRUCTURE DEVELOPMENT CORPORATION LTD"
"64b505d3-8795-4ce5-80c2-6c0646beef7a","HUDA - Online Approval of Fresh Building Plan","HARYANA URBAN DEVELOPMENT AUTHORITY"
"5d8d80b3-a5d3-4eef-84b9-730b53a4c468","Appointment Availability Status for E-Registration","DEPARTMENT OF REVENUE"
